Time/ps   Temperature/K
0.01      141.2377  
0.02      188.208404
0.03      200.115752
0.04      193.666716
0.05      237.705606
0.06      265.154299
0.07      273.824433
0.08      306.263942
0.09      312.179056
0.1       304.513548
0.1       304.513548
0.11      311.732728
0.12      287.473287
0.13      290.620667
0.14      297.452254
0.15      302.779082
0.16      304.961968
0.17      301.198774
0.18      292.863365
0.19      295.06025 
0.2       300.210507
0.2       300.210507
0.21      302.007719
0.22      306.071843
0.23      301.297767
0.24      295.002108
0.25      294.560001
0.26      300.985052
0.27      303.079322
0.28      304.967629
0.29      303.28284 
0.3       298.866924
0.3       298.866924
0.31      295.030737
0.32      296.352561
0.33      303.603667
0.34      297.931699
0.35      301.994501
0.36      298.437854
0.37      298.710031
0.38      301.848201
0.39      300.353446
0.4       302.608268
0.4       302.608268
0.41      298.903929
0.42      302.146122
0.43      295.716772
0.44      297.453036
0.45      296.948839
0.46      302.719324
0.47      300.937639
0.48      303.6541  
0.49      300.231526
0.5       294.932031
0.5       294.932031
0.51      299.430202
0.52      301.22772 
0.53      305.48283 
0.54      305.375404
0.55      296.591763
0.56      292.746907
0.57      296.808685
0.58      301.629856
0.59      303.261517
0.6       300.957621
0.6       300.957621
0.61      297.044425
0.62      297.121786
0.63      300.995155
0.64      303.264634
0.65      305.139858
0.66      299.665832
0.67      298.251814
0.68      296.536739
0.69      300.311789
0.7       300.411599
0.7       300.411599
0.71      301.76027 
0.72      301.20123 
0.73      298.436252
0.74      298.588342
0.75      299.799071
0.76      301.164849
0.77      301.729564
0.78      303.144629
0.79      301.518481
0.8       297.760017
0.8       297.760017
0.81      297.991996
0.82      297.500588
0.83      301.968325
0.84      301.281198
0.85      302.323109
0.86      301.430153
0.87      299.359182
0.88      299.831713
0.89      304.139412
0.9       301.946381
0.9       301.946381
0.91      302.671653
0.92      299.87208 
0.93      304.954175
0.94      298.880075
0.95      301.53863 
0.96      304.911731
0.97      297.695319
0.98      298.810084
0.99      302.737256
1.0       302.545935
