Time/ps   Temperature/K
0.01      141.284812
0.02      195.001605
0.03      212.849182
0.04      221.714959
0.05      278.247155
0.06      297.299533
0.07      311.808227
0.08      312.408152
0.09      299.986344
0.1       285.281508
0.1       285.281508
0.11      286.277618
0.12      299.152693
0.13      296.093097
0.14      315.158521
0.15      312.181491
0.16      296.029483
0.17      297.953173
0.18      303.230514
0.19      296.816128
0.2       313.700077
0.2       313.700077
0.21      306.13569 
0.22      300.925291
0.23      295.260053
0.24      296.660558
0.25      302.576518
0.26      309.868773
0.27      302.811758
0.28      296.240189
0.29      299.087122
0.3       290.069711
0.3       290.069711
0.31      300.289357
0.32      289.258287
0.33      312.495957
0.34      306.669684
0.35      292.734071
0.36      300.904374
0.37      299.404505
0.38      291.197406
0.39      300.081784
0.4       303.789149
0.4       303.789149
0.41      302.843519
0.42      291.774785
0.43      296.170204
0.44      296.418549
0.45      301.092539
0.46      310.701945
0.47      302.593977
0.48      302.151391
0.49      292.713242
0.5       297.172014
0.5       297.172014
0.51      297.486018
0.52      296.191968
0.53      303.1922  
0.54      290.995395
0.55      297.816876
0.56      299.001373
0.57      303.485459
0.58      302.657041
0.59      315.263994
0.6       317.911574
0.6       317.911574
0.61      308.645869
0.62      312.334679
0.63      301.332473
0.64      306.741779
0.65      301.259364
0.66      298.716565
0.67      302.645864
0.68      295.789861
0.69      306.404278
0.7       305.919338
0.7       305.919338
0.71      304.519587
0.72      294.01867 
0.73      293.241205
0.74      289.717563
0.75      290.112046
0.76      296.773016
0.77      301.53683 
0.78      314.369823
0.79      303.920663
0.8       294.243575
0.8       294.243575
0.81      285.568151
0.82      290.460326
0.83      296.171592
0.84      302.054631
0.85      299.643945
0.86      297.160112
0.87      294.184914
0.88      299.446673
0.89      299.400862
0.9       296.929299
0.9       296.929299
0.91      294.269123
0.92      295.584295
0.93      304.696689
0.94      291.541479
0.95      296.796039
0.96      294.181531
0.97      294.664464
0.98      301.544839
0.99      300.313348
1.0       298.206345
