# Chunk-averaged data for fix 2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
250 20 6400
  1 0.025 327.98 355.646
  2 0.075 327.38 358.587
  3 0.125 331 355.451
  4 0.175 325.14 337.518
  5 0.225 320.5 316.699
  6 0.275 320 310.34
  7 0.325 316.14 294.23
  8 0.375 293.4 304.122
  9 0.425 318.46 309.394
  10 0.475 320 296.927
  11 0.525 320 296.496
  12 0.575 320 294.12
  13 0.625 308.32 285.115
  14 0.675 299.8 303.085
  15 0.725 319.88 316.68
  16 0.775 320 335.677
  17 0.825 322.72 342.435
  18 0.875 330.42 335.233
  19 0.925 332.44 318.992
  20 0.975 326.42 343.627
500 20 6400
  1 0.025 320 358.536
  2 0.075 320.12 376.126
  3 0.125 319.88 358.31
  4 0.175 320 342.595
  5 0.225 320 333.109
  6 0.275 320 357.887
  7 0.325 320 356.529
  8 0.375 320 331.603
  9 0.425 320 355.366
  10 0.475 320 320.142
  11 0.525 320 326.215
  12 0.575 320 345.229
  13 0.625 320 319.791
  14 0.675 320 337.094
  15 0.725 320 347.284
  16 0.775 320 367.114
  17 0.825 320 331.951
  18 0.875 320 326.996
  19 0.925 320 313.566
  20 0.975 320 332.366
750 20 6400
  1 0.025 320 353.207
  2 0.075 320 391.598
  3 0.125 320 379.762
  4 0.175 316.92 341.216
  5 0.225 321.04 334.471
  6 0.275 321.22 350.531
  7 0.325 319.7 364.156
  8 0.375 321.02 352.366
  9 0.425 320.1 335.871
  10 0.475 320 344.827
  11 0.525 320 337.409
  12 0.575 320 333.986
  13 0.625 320 325.247
  14 0.675 320 350.336
  15 0.725 320 339.56
  16 0.775 320 350.237
  17 0.825 320 331.328
  18 0.875 320 323.257
  19 0.925 320 295.249
  20 0.975 320 318.611
1000 20 6400
  1 0.025 320 360.129
  2 0.075 320 388.202
  3 0.125 320 376.733
  4 0.175 320 362.209
  5 0.225 320 360.394
  6 0.275 320 343.832
  7 0.325 320 355.005
  8 0.375 320 337.219
  9 0.425 320 342.553
  10 0.475 320 355.867
  11 0.525 320 338.153
  12 0.575 320 328.974
  13 0.625 320 332.464
  14 0.675 320 352.662
  15 0.725 320 328.873
  16 0.775 320 336.482
  17 0.825 320 331.373
  18 0.875 320 309.317
  19 0.925 320 282.656
  20 0.975 320 288.1
1250 20 6400
  1 0.025 320 383.953
  2 0.075 320 407.876
  3 0.125 320 398.857
  4 0.175 320 365.898
