# Time-averaged data for fix average
# TimeStep c_Tchunk_1 c_Tchunk_2 c_Tchunk_3 c_Tchunk_4 c_Tchunk_5 c_Tchunk_6 c_Tchunk_7 c_Tchunk_8 c_Tchunk_9 c_Tchunk_10 c_Tchunk_11 c_Tchunk_12 c_Tchunk_13 c_Tchunk_14 c_Tchunk_15 c_Tchunk_16 c_Tchunk_17 c_Tchunk_18 c_Tchunk_19 c_Tchunk_20
400 303.73 317.982 313.086 311.216 299.458 296.552 286.138 288.392 290.984 294.673 292.961 295.737 302.965 278.94 287.962 301.861 290.023 305.855 301.632 300.944
800 321.054 317.841 308.938 296.125 296.378 290.711 299.123 308.537 305.803 303.804 312.034 304.219 308.385 296.741 290.403 291.047 280.837 286.683 268.48 276.918
1200 321.247 324.247 311.579 291.199 299.847 297.55 304.86 293.79 308.652 309.111 299.493 296.746 297.56 289.845 286.878 285.32 277.185 283.726 268.735 275.91
1600 326.041 333.635 327.936 311.869 300.848 292.767 293.553 290.272 296.556 284.362 294.908 290.664 287.91 286.992 290.607 291.848 284.127 275.899 280.74 282.921
2000 346.07 358.974 337.586 340.804 335.094 319.945 307.869 307.551 301.78 290.861 279.867 280.379 275.189 286.648 285.428 277.07 281.463 275.417 265.378 281.241
2400 347.127 355.001 349.296 338.385 315.117 311.887 301.486 304.435 293.089 287.178 279.838 272.604 277.643 271.993 271.587 269.048 274.274 282.786 282.192 284.965
2800 340.812 356.476 339.174 319.314 306.378 310.093 309.231 311.763 291.762 306.523 296.995 292.958 284.406 280.176 276.566 266.288 270.595 268.234 262.336 267.65
3200 342.757 350.671 332.221 323.668 303.985 316.202 303.822 300.128 306.824 308.755 292.571 290.335 278.519 287.582 276.445 267.698 268.908 263.768 254.704 264.523
3600 338.83 357.279 332.023 329.887 313.614 311.012 301.886 295.452 292.935 291.842 281.596 276.965 274.963 289.669 276.333 272.513 267.025 264.523 255.53 264.433
4000 356.064 366.638 361.126 358.835 344.375 332.113 308.234 315.399 298.933 291.951 283.474 274.653 277.498 273.771 261.316 264.402 259.594 269.832 256.477 275.892
