ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
6400
ITEM: BOX BOUNDS ss pp pp
-9.7926982851326834e+00 3.6894730484111182e+02
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
3 -1.50361 0.874545 -1.701
5 -1.50143 0.160483 2.35283
6 0.534138 -1.56978 0.0991589
20 -0.393603 0.460214 1.21614
21 0.948902 -1.58736 2.2627
2 -0.153166 -2.19539 -0.721331
17 -0.373441 0.45859 -1.08317
67 1.96366 -2.23563 -1.19077
85 0.341106 -0.788181 0.174748
70 -0.690474 1.93371 -2.74396
84 6.13725 -1.07519 -0.227751
81 1.68281 1.73019 7.15203
66 0.372171 1.26478 -0.015099
149 -1.82526 -0.0694948 1.33503
131 1.47276 -2.56391 2.10087
145 -0.503269 -1.0523 2.6137
134 1.04133 1.87223 1.83433
148 3.61977 -1.31703 2.27928
213 1.82974 -1.57215 0.675576
130 1.26429 1.43541 0.176847
195 -1.98044 -2.69721 0.281487
209 0.644536 4.81561 2.8942
198 3.09001 -0.587424 1.65409
212 2.2655 -0.429207 -0.0874539
259 1.65418 -4.64832 -0.180108
277 -0.820086 -2.02198 -1.91317
273 1.57499 0.314153 -1.62786
257 1.01443 -0.376393 4.04063
194 -0.936755 3.12995 0.806288
193 0.117639 -4.06619 0.273431
260 0.237276 -2.3292 -0.970256
262 1.93115 3.09141 0.852379
276 0.140955 -2.64898 0.253339
323 3.33862 -3.6439 -2.30174
341 -0.953453 1.22669 -0.359901
321 2.06311 0.0521466 -3.89274
258 0.051398 -0.725602 -2.75407
325 0.304538 -2.26104 -1.66898
337 -1.6624 -2.23623 -0.831427
326 3.15838 -0.281186 1.33214
340 -1.4606 0.218578 -1.07259
387 -0.740035 -0.207914 0.350448
389 -1.9628 -0.237469 1.50845
405 -1.86281 2.97083 1.40669
385 5.643 -3.26744 0.0848103
322 2.77521 -1.70924 1.30763
401 1.72654 -1.16477 0.0792738
324 -1.12062 -2.5146 0.122842
388 0.215817 -2.51838 -3.23475
390 -0.895035 2.88017 3.82423
404 -0.824587 0.594483 -2.05752
451 0.636528 5.11614 -4.93714
469 4.33302 -0.289377 -4.55311
453 0.980922 -4.27276 3.1959
449 0.415152 0.000436228 0.905496
465 -0.511146 2.05642 -0.0317662
386 0.361899 -0.878165 -0.485442
454 -0.341493 0.309708 0.109622
468 -0.30867 1.22197 -1.94748
515 -0.513671 0.743837 -1.50162
517 -2.22598 1.59427 0.617045
533 0.0676424 0.869462 1.19057
452 0.205397 2.02429 1.3293
513 0.938171 -0.787916 2.9784
529 1.38618 2.27345 -6.35889
450 -2.88288 3.06968 1.35255
516 2.74521 0.607053 -2.47306
518 3.05693 -0.207945 -0.581214
532 2.70683 -1.49639 1.81191
579 0.273665 0.984326 0.591505
597 -0.320082 3.61348 -1.90819
581 1.0873 0.450034 -0.937892
514 0.103436 -1.10263 -0.680509
577 3.62821 -4.08972 0.166085
593 -1.19182 -2.34154 -2.96376
582 2.99781 -0.85674 -1.98275
596 -1.0455 -2.57517 1.32186
643 -1.75013 2.76295 -3.26209
645 -0.135335 -0.614695 0.907289
661 -1.43835 1.65348 -1.85406
641 -0.585581 -1.67442 0.171903
657 -3.06881 -0.468283 0.0795644
578 2.49636 -1.67273 1.09956
646 0.249012 0.305197 1.97398
660 2.68413 -0.290913 -0.618777
707 -3.26856 1.12434 2.22046
725 -3.73141 -0.746016 1.89497
709 1.19731 0.784105 -0.949784
642 1.79523 -0.939177 0.926695
705 0.791496 0.552656 -2.6479
644 -0.26601 -3.33537 -2.43015
721 -0.0924199 -1.53416 -0.532132
710 1.71229 -0.748714 1.48547
724 -0.0496065 -0.848198 0.924043
708 0.924999 -0.350121 1.13263
771 -0.500876 -2.2802 2.5047
773 0.269369 1.50233 -1.41593
789 2.54481 1.90363 -3.24504
706 3.3921 -1.26112 1.25332
769 -0.945068 -1.69043 0.626171
785 3.38814 -2.07597 2.71948
774 -1.79624 -4.10097 0.933026
772 2.36013 3.46719 1.40218
788 2.44821 -2.71007 1.28197
835 1.4748 -2.79152 -1.59291
853 0.653217 0.829274 3.54584
837 -1.44779 1.8591 3.49433
770 3.08774 4.29617 -1.11727
849 1.0761 1.58103 2.74817
833 0.995351 0.630327 1.86723
852 -1.35094 0.304188 1.10838
838 3.3392 2.1122 -4.2247
836 -1.13528 0.473604 -0.987843
899 -4.28154 -0.194886 -1.69009
917 -0.249338 3.53888 3.92854
901 1.66091 2.11402 4.22068
897 -2.96509 2.20167 0.850533
913 -1.14895 -0.508977 -0.664855
834 -0.0858275 0.199156 1.00504
902 0.83619 -2.35999 1.2143
900 1.02724 -0.574167 2.91066
916 -0.428393 1.83355 1.28989
963 -0.253135 -1.32414 -1.48625
981 -3.37768 0.695013 -1.01787
965 -2.34354 0.243538 0.0609037
977 2.25786 0.688603 -1.02619
961 -1.06186 1.94154 0.0304038
898 -0.438113 -0.511376 1.86896
966 1.91782 1.37797 -1.66836
980 -2.72098 -4.29242 -0.202342
964 -4.67789 -1.7182 -1.35032
1027 1.82678 -1.34832 -0.439901
1045 -0.619686 -1.84382 2.18994
1029 0.488686 0.393131 2.07852
1041 -1.28155 1.33029 -2.1691
962 1.05544 2.88407 1.25301
1025 1.81435 -0.663989 0.124318
1030 -1.99557 -1.83375 -0.246539
1044 -1.05967 -2.45422 -1.30506
1026 -0.639648 -1.11878 2.79713
1091 1.39229 4.32441 -4.66597
1109 4.46066 0.0249896 1.46494
1093 1.52401 -3.48553 1.60227
1089 0.990791 -0.890407 -1.83746
1105 1.17259 -0.419212 -0.645024
1094 1.20811 -1.63712 -0.65503
1108 0.483637 -0.735157 3.25881
1092 3.18875 -0.864642 -2.46832
1155 -0.867805 -4.17679 -0.754297
1173 -0.281063 0.539996 -2.04427
1157 -1.11034 -1.47543 -4.18121
1169 -2.92531 1.9454 0.443936
1090 2.33381 -0.687388 1.34384
1153 -1.83243 -0.157075 0.200035
1158 0.214423 1.25922 -2.25689
1172 -0.298479 -0.36184 1.22316
1219 -2.49684 -2.31931 -3.99572
1237 -1.89458 0.41784 2.00278
1221 -0.114472 4.59476 -0.574088
1233 -1.44531 1.49434 1.25299
1156 -0.509246 0.133299 3.83527
1154 2.62642 -0.427689 1.77065
1217 -3.42176 0.827401 -1.05632
1222 -0.274428 -0.545098 0.79543
1236 1.2041 4.68832 -1.61925
1218 -1.64289 -0.697701 0.375268
1283 -3.15388 0.638563 -3.93447
1301 -0.520782 0.506777 1.05262
1285 0.460078 2.09133 0.670656
1220 1.33761 -0.747946 -2.25496
1286 -0.18414 -1.29953 -0.0722133
1300 0.656348 0.805566 -1.93297
1284 -1.3733 -2.22879 -1.4297
1347 0.0587438 1.06109 2.21467
1365 -3.57594 0.596884 -2.35759
1349 -0.226663 -0.0401196 -0.379783
1282 1.57641 1.11474 -0.372412
1345 1.42669 -2.95815 0.843557
1361 -1.67403 2.35309 1.77971
1350 1.33382 -2.12298 0.722721
1364 -0.728321 5.15977 -1.11059
1348 -0.797181 -1.40779 2.18938
1411 1.55677 4.40371 0.788226
1429 -1.70187 -0.411796 -0.39335
1413 -1.7985 0.354172 -1.39531
1346 -0.120894 -2.78341 -2.89374
1425 4.05588 1.50413 -0.666896
1414 -0.802862 -1.56078 -0.541079
1428 -1.38941 0.247096 -2.65597
1475 -0.751492 1.72272 0.94881
1493 1.41974 0.824252 -1.9193
1477 -0.196577 -0.943701 0.925594
1473 1.93818 -1.45764 2.16133
1412 2.27712 -2.92809 -2.4475
1478 3.20082 -2.75947 -2.18116
1492 -2.18985 0.784916 -2.74101
1476 -1.3763 0.402897 -3.18742
1474 -0.364846 -0.0753168 -1.361
1539 -2.46056 -1.95334 -2.30485
1541 -2.5175 1.55158 1.89772
1557 -0.803145 -1.8705 1.59403
1542 0.361045 -1.46531 -0.30918
1556 2.27208 -0.360366 -0.314069
1540 -1.04885 1.40224 -2.75429
1621 -0.300212 0.621861 -1.62944
1605 -2.49292 -3.23991 -0.0140624
1603 1.61395 2.56449 -2.63287
1606 -1.65216 -0.234998 2.25882
1620 0.72393 3.38898 -0.906452
1604 1.3768 -0.0228112 -0.590698
1667 1.98434 0.579258 1.3754
1685 -1.18278 0.200565 -0.0510033
1669 -1.4848 1.45391 3.06469
1670 1.16767 1.07625 3.70071
1684 -1.69042 2.15994 -3.23435
1668 -0.173381 -2.25559 -0.954301
1731 0.810516 1.88477 1.09452
1733 -0.0669434 -0.209235 2.03984
1749 -1.55663 1.33938 -1.09621
1729 -0.841206 2.50232 2.63568
1734 -3.07295 -3.31834 -0.733336
1748 -0.276422 1.77638 0.18493
1732 2.54655 -0.782496 -0.472982
1795 4.0119 -0.361048 0.657399
1813 -3.72382 -3.24382 2.4727
1797 -0.746415 -0.686265 -0.0242117
1809 2.10163 -0.961855 -0.934788
1798 -1.53184 -1.00001 -0.0243417
1812 -0.935881 -1.26213 0.489328
1796 -1.11101 -5.34164 -0.960003
1859 -3.22313 2.166 0.650198
1877 0.421494 -0.228926 1.52749
1861 0.83412 0.188826 -1.15434
1876 3.97581 1.01146 -1.28666
1860 -2.5151 2.38443 2.7316
1862 1.15492 -0.114628 0.318727
1923 -1.74906 -3.02081 0.780746
1941 1.34512 0.669515 2.63933
1925 2.21288 -1.91134 -0.963437
1926 -4.99166 -2.09256 2.25888
1940 0.106252 2.57665 -2.54752
2005 -3.24044 -1.83595 3.54415
1987 1.34086 0.691296 0.66592
1989 -0.799064 3.27899 -1.24843
1990 -3.76345 0.854061 2.08974
2004 1.21865 1.70402 -0.892023
1988 0.151576 1.67891 1.21206
1924 -0.540388 1.95233 0.444984
2051 -2.70251 -1.64331 -2.93444
2069 0.942945 0.0942264 1.32165
2053 0.165534 -3.42798 -1.71289
2054 0.240063 0.848361 -0.966918
2068 -0.826006 2.75093 0.641679
2052 1.62366 0.541947 -0.602618
2115 4.38163 0.155576 -1.65955
2133 1.39421 -2.29859 0.28972
2117 0.107194 -1.11842 0.281541
2118 1.30335 -0.0102509 -3.35764
2132 2.89501 0.158639 0.72409
2116 2.01169 -0.739251 3.61276
2197 -0.460214 2.73819 1.42707
2179 -1.40118 4.29991 -1.84424
2182 -4.3956 1.05613 -2.67166
2196 -0.132814 -0.543295 0.779228
2180 1.73505 2.61992 -1.65082
2181 -0.457051 -0.618612 -3.84372
2261 -0.289352 0.227336 -0.134033
2245 -3.426 -0.0590954 0.932512
2243 0.354451 3.86026 0.427778
2246 -1.0151 0.964602 -1.31481
2260 1.45229 -1.84381 0.956827
2244 1.41994 1.46163 2.29253
2325 -1.35224 3.75093 -2.40126
2309 -0.848476 -3.32255 -0.837472
2307 1.25841 1.45283 2.46656
2310 -0.227549 0.667217 -2.21476
2324 1.57936 -1.09572 -1.95892
2308 1.66566 -0.358365 -0.471716
2306 1.64913 1.25841 2.09828
2371 -0.670386 0.697138 2.01853
2389 0.979682 1.26975 -0.314019
2373 -0.496195 2.53119 -0.716316
2374 -0.625972 -3.14471 -0.295023
2388 -2.25342 -2.70205 -0.0225034
2372 0.538389 -1.36467 -0.0676344
2435 -1.16024 -2.14265 2.10038
2453 -1.62567 -0.803275 -0.667044
2438 0.793684 -1.42987 3.68209
2452 2.41627 0.75294 2.65567
2436 -0.988873 -1.77629 -0.78999
2437 -0.705528 3.54736 0.00592108
2434 1.56882 0.954048 0.504389
2499 0.117464 0.68687 -1.1849
2517 0.877973 -1.54622 0.215828
2501 -2.28003 -1.65098 -3.82473
2502 -2.18596 1.48114 1.92839
2500 3.45734 0.682007 -0.868367
2516 -1.56827 -1.2905 -0.941201
2563 -2.02894 0.0612783 3.67806
