Time/ps   Temperature/K
0.01      150.620803
0.02      172.054902
0.03      188.970313
0.04      206.773729
0.05      223.16898 
0.06      247.68027 
0.07      267.278478
0.08      283.872496
0.09      297.16325 
0.1       309.355543
0.1       309.355543
0.11      307.873733
0.12      300.699397
0.13      292.71334 
0.14      292.653816
0.15      295.783813
0.16      304.36258 
0.17      307.602216
0.18      303.817352
0.19      298.52878 
0.2       296.871954
0.2       296.871954
0.21      295.673031
0.22      302.037938
0.23      301.993068
0.24      303.693991
0.25      299.629815
0.26      296.973189
0.27      297.934302
0.28      299.426197
0.29      303.358974
0.3       303.74472 
0.3       303.74472 
0.31      301.258023
0.32      298.208017
0.33      295.960665
0.34      301.030163
0.35      303.462688
0.36      302.855554
0.37      300.232262
0.38      298.422452
0.39      295.521537
0.4       299.17843 
0.4       299.17843 
0.41      302.639664
0.42      303.164864
0.43      300.762935
0.44      299.354392
0.45      296.73065 
0.46      298.691337
0.47      299.409227
0.48      300.456152
0.49      302.196678
0.5       300.317645
0.5       300.317645
0.51      298.090729
0.52      297.457333
0.53      300.704134
0.54      301.233332
0.55      300.450063
0.56      301.866477
0.57      300.327513
0.58      299.858167
0.59      296.905139
0.6       297.246909
0.6       297.246909
0.61      299.162247
0.62      301.530463
0.63      301.314007
0.64      297.843533
0.65      297.650563
0.66      299.409598
0.67      298.774468
0.68      303.105358
0.69      300.861081
0.7       298.915014
0.7       298.915014
0.71      296.920787
0.72      299.151023
0.73      298.221817
0.74      302.358239
0.75      299.721108
0.76      299.223664
0.77      298.30854 
0.78      297.452801
0.79      298.432968
0.8       303.440844
0.8       303.440844
0.81      304.416925
0.82      299.656749
0.83      298.066152
0.84      298.989281
0.85      299.86747 
0.86      301.163428
0.87      299.225564
0.88      299.758735
0.89      299.746374
0.9       300.412954
0.9       300.412954
0.91      298.150198
0.92      299.795738
0.93      302.846338
0.94      301.797239
0.95      298.536396
0.96      298.882338
0.97      297.080192
0.98      301.31223 
0.99      300.330612
1.0       299.307531
